created_at,account_id,utm_source,utm_medium,utm_campaign,utm_content,utm_term,m_clicks,m_cost
2022-08-15,xo-for-client-ya,yandex,cpc,48306435,8404700756,,2.0,125.832
2022-08-15,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306435,8813476161,,5.0,184.008
2022-08-15,xo-for-client-ya,yandex,cpc,48306435,8813476162,,5.0,149.67600000000002
2022-08-15,xo-for-client-ya,yandex,cpc,48306435,8813476163,,1.0,28.92
2022-08-15,xo-for-client-ya,yandex,cpc,48306435,8813476164,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306450,8404701659,,11.0,321.768
2022-08-15,xo-for-client-ya,yandex,cpc,48306450,8404701661,,15.0,615.348
2022-08-15,xo-for-client-ya,yandex,cpc,48306450,8404701663,,1.0,45.948
2022-08-15,xo-for-client-ya,yandex,cpc,48306450,8404701664,,15.0,328.97999999999996
2022-08-15,xo-for-client-ya,yandex,cpc,48306450,8404701665,,5.0,59.052
2022-08-15,xo-for-client-ya,yandex,cpc,48306473,8404704716,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306473,8813432765,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306487,8404707409,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306487,8404707410,,2.0,48.959999999999994
2022-08-15,xo-for-client-ya,yandex,cpc,48306487,8813469519,,19.0,422.616
2022-08-15,xo-for-client-ya,yandex,cpc,48306487,8813469520,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306487,8813469521,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306487,8813469522,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306494,8404707871,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306494,8404707872,,2.0,43.512
2022-08-15,xo-for-client-ya,yandex,cpc,48306494,8813466151,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306494,8813466152,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306494,8813466153,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306494,8813466154,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306518,8813477623,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306518,8813477629,,0.0,0.0
2022-08-15,xo-for-client-ya,yandex,cpc,48306518,8813477634,,0.0,0.0
2022-07-10,xo-for-client-ya,yandex,cpc,48306518,8404708336,,0.0,0.0
2022-07-10,xo-for-client-ya,yandex,cpc,48306518,8813477637,,0.0,0.0
2022-07-16,xo-for-client-ya,yandex,cpc,48306435,8404700756,,7.0,149.292
2022-07-16,xo-for-client-ya,yandex,cpc,48306435,8404700757,,0.0,0.0
2022-07-16,xo-for-client-ya,yandex,cpc,48306435,8813476161,,6.0,119.58000000000001
2022-07-16,xo-for-client-ya,yandex,cpc,48306435,8813476162,,0.0,0.0
2022-07-16,xo-for-client-ya,yandex,cpc,48306435,8813476163,,0.0,0.0
2022-07-08,xo-for-client-ya,yandex,cpc,48306435,8813476162,,3.0,132.64800000000002
2022-07-08,xo-for-client-ya,yandex,cpc,48306435,8813476163,,0.0,0.0
